0;unspecified
;
1;x-ray
;
10;unspecified
;
11;plain radiography
;
110;unspecified
;
111;digital
;
1110;unspecified
;
1111;overview image
;
1112;tomography
;
1113;high beam energy
;
1114;low beam energy
;
1115;far view projection
;
1116;1:1 projection
;
1117;dual energy
;
112;analog
;
1120;unspecified
;
1121;overview image
;
1122;tomography
;
1123;high beam energy
;
1124;low beam energy
;
1125;far view projection
;
1126;1:1 projection
;
113;x-ray stereometry
;
114;x-ray stereography
;
115;tomosynthesis
;
116;xeroradiography
;
12;fluoroscopy
;
120;unspecified
;
121;digital
;
122;analog
;
13;angiography
;
130;unspecified
;
131;digital
;
1310;unspecified
;
1311;subtraction (DSA)
;
1312;rotation angiography
;
1313;pathfinder technique
;
;
;
132;analog
;
1320;unspecified
;
1321;photo subtraction
;
14;computed tomography (CT)
;
140;unspecified
;
141;conventional CT
;
1410;unspecified
;
1411;low dose
;
1412;high resolution
;
1413;bolus tracking
;
142;quantitative CT
;
1420;unspecified
;
1421;dual energy
;
15;DEXA (quantitative radiography)
;
150;unspecified
;
151;digital
;
1510;unspecified
;
1511;dual energy
;
16;radiotherapy
;
160;unspecified
;
161;digital
;
162;analog
;
2;sonography
;
20;unspecified
;
21;A-mode
;
210;unspecified
;
221;3.5 MHz
;
212;5.0 MHz
;
213;7.5 MHz
;
214;10 MHz
;
215;variable frequency
;
22;B-mode
;
220;unspecified
;
221;sector scan
;
2210;unspecified
;
2211;3.5 MHz
;
2212;5.0 MHz
;
2213;7.5 MHz
;
2214;10 MHz
;
2215;variable frequency
;
222;linear scan
;
2220;unspecified
;
2221;3.5 MHz
;
2222;5.0 MHz
;
2223;7.5 MHz
;
2224;10 MHz
;
2225;variable frequency
;
23;M-mode
;
230;unspecified
;
231;3.5 MHz
;
232;5.0 MHz
;
233;7.5 MHz
;
234;10 MHz
;
235;variable frequency
;
24;compound mode
;
240;unspecified
;
241;3.5 MHz
;
242;5.0 MHz
;
243;7.5 MHz
;
244;10 MHz
;
245;variable frequency
;
25;SieScape mode
;
250;unspecified
;
251;3.5 MHz
;
252;5.0 MHz
;
